name,pay,age,nationality,shooting,passing,dribbling,Intercept,Stealing,goalkeeper_skill,team_position,team_jersey_number,value,club_name,
J. Khayat,600,27,Morocco,33,55,56,57,52,0,RES,25,210000,Mji§llby AIF,
A. Gonzi°lez,500,28,Venezuela,23,36,38,62,55,0,RDM,4,200000,Llaneros de Guanare,
N. Popescu,1000,26,Romania,49,59,61,26,34,0,SUB,11,240000,FC Arge»ô,
D. Bulman,1000,41,England,44,56,57,58,54,0,SUB,21,0,Crawley Town,
J. McAnuff,2000,38,Jamaica,57,60,65,49,38,0,LM,7,70000,Leyton Orient,
L. McCormick,1000,36,England,0,0,0,14,13,62,SUB,23,35000,Plymouth Argyle,
P. Cherrie,500,36,Scotland,0,0,0,15,16,61,GK,1,35000,Derry City,
B. Murphy,500,37,Republic of Ireland,0,0,0,14,13,62,GK,25,20000,Waterford FC,
M. McNulty,500,39,Republic of Ireland,0,0,0,10,14,60,GK,1,20000,Cork City,
J. Castillo,500,37,Bolivia,63,60,57,27,24,0,SUB,18,70000,Oriente Petrolero,
M. Oyola,500,37,Ecuador,54,60,62,30,32,0,SUB,18,70000,Barcelona Sporting Club,
M. Spelmann,650,33,Denmark,57,59,62,58,52,0,SUB,11,120000,Mji§llby AIF,
R. Taylor,2000,32,England,60,50,57,28,24,0,SUB,29,170000,Newport County,
T. Elrich,1000,33,Australia,53,57,60,63,60,0,SUB,21,100000,Perth Glory,
S. Hird,2000,32,England,37,43,48,60,59,0,CB,6,130000,Barrow,
J. Dayton,3000,31,England,55,57,64,35,25,0,RCM,11,180000,Leyton Orient,
M. Maidana,500,33,Argentina,30,46,59,49,59,0,RES,13,90000,River Plate Asuncion,
M. Green,2000,33,England,60,51,60,26,31,0,LW,7,130000,Grimsby Town,
S. Madden,500,32,Republic of Ireland,47,56,58,58,56,0,SUB,17,130000,"St. Patrick""s Athletic",
I. Bermingham,500,31,Republic of Ireland,51,56,58,56,55,0,SUB,3,150000,"St. Patrick""s Athletic",
A. Maccoppi,3000,33,Italy,37,51,55,58,62,0,SUB,14,100000,Servette FC,
A. Leitch-Smith,2000,30,England,58,52,60,30,26,0,SUB,17,200000,Morecambe,
J. Turley,3000,30,England,33,42,40,59,57,0,SUB,23,170000,Leyton Orient,
J. Falkingham,2000,29,England,50,57,61,59,58,0,RCM,4,200000,Harrogate Town,
Hou Sen,2000,31,China PR,0,0,0,12,13,62,SUB,1,130000,Beijing Sinobo Guoan FC,
O. Malik,1000,29,Australia,37,56,57,59,58,0,CB,13,170000,Perth Glory,
N. Getaz,3000,29,Switzerland,44,53,61,54,55,0,SUB,30,170000,FC Lausanne-Sport,
Ryang Yong Gi,750,38,Korea DPR,58,66,65,41,36,0,SUB,50,70000,Sagan Tosu,
S. ornek,2000,31,Turkey,50,59,60,54,38,0,RES,57,180000,Hatayspor,
F. Rossi,6000,29,Italy,0,0,0,17,16,58,SUB,31,150000,Atalanta,
P. Slia°kovic,1000,29,Croatia,59,42,52,28,32,0,SUB,18,210000,Turkgucu Munchen,
S. Schmik,500,30,Germany,42,54,60,53,58,0,SUB,16,160000,SC Verl,
Kim Hyo Gi,1000,33,Korea Republic,60,38,60,18,12,0,RES,18,130000,GwangJu FC,
R. Gaffney,750,30,Republic of Ireland,59,54,55,37,36,0,SUB,20,200000,Shamrock Rovers,
Ahn Young Kyu,900,30,Korea Republic,27,38,51,63,57,0,LCB,6,170000,Seongnam FC,
H. Shaian,3000,31,Saudi Arabia,0,0,0,15,15,58,SUB,23,130000,Al Taawoun,
W. Lisowski,850,28,Poland,42,51,58,56,58,0,SUB,25,180000,Stal Mielec,
M. Majrashi,5000,29,Saudi Arabia,57,47,61,27,30,0,SUB,19,210000,Al Fateh,
A. Majrashi,3000,28,Saudi Arabia,30,48,58,59,60,0,RB,28,180000,Al Adalah,
B. Al Baqi,4000,30,Saudi Arabia,0,0,0,14,16,64,RES,66,140000,Al Ahli,
A. Al Saleh,3000,30,Saudi Arabia,0,0,0,17,14,60,SUB,30,140000,Ettifaq FC,
N. Hebisch,800,30,Germany,63,41,53,12,18,0,SUB,11,200000,VfB Lubeck,
M. Al Thmali,3000,28,Saudi Arabia,56,60,61,60,59,0,SUB,55,210000,Al Faisaly,
J. Matt,4000,30,Jamaica,59,48,55,13,16,0,RS,14,200000,Forest Green Rovers,
J. Clisby,550,28,Australia,47,56,53,53,55,0,LB,3,180000,Central Coast Mariners,
P. Mi≠guez,500,33,Uruguay,55,58,60,60,65,0,CDM,8,120000,Melgar FBC,
J. Fierro,500,32,Bolivia,64,40,51,26,27,0,SUB,18,170000,Nacional Potosi≠,
W. Mena,500,32,Colombia,57,52,60,11,18,0,SUB,21,170000,Estudiantes de Merida,
Li Tixiang,2000,30,China PR,50,51,56,60,57,0,SUB,15,170000,Guangzhou R&F FC,
Jin Pengxiang,3000,30,China PR,35,52,56,61,60,0,RES,16,170000,Beijing Sinobo Guoan FC,
Lu Peng,3000,30,China PR,43,53,58,63,62,0,SUB,26,170000,Beijing Sinobo Guoan FC,
Sun Shilin,3000,31,China PR,51,53,58,62,60,0,SUB,37,160000,Shanghai Greenland Shenhua FC,
H. Hatipoglu,2000,30,Turkey,19,33,34,63,68,0,SUB,5,170000,BB Erzurumspor,
J. Muldoon,2000,31,England,59,49,59,22,16,0,LM,18,190000,Harrogate Town,
J. Coulson,3000,31,England,27,39,35,61,58,0,RCB,6,150000,Leyton Orient,
Zhang Lu,3000,32,China PR,57,54,58,56,54,0,SUB,8,160000,Shanghai Greenland Shenhua FC,
E. iÅlvarez,500,31,Paraguay,65,44,56,14,16,0,SUB,11,190000,Nacional Asuncion,
Lee Tae Hee,950,28,Korea Republic,38,52,57,60,60,0,SUB,32,180000,Seongnam FC,
H. Al Juhayyim,4000,32,Saudi Arabia,61,55,61,36,27,0,SUB,11,170000,Al Fayha,
A. Kanno,3000,30,Saudi Arabia,28,45,52,60,61,0,SUB,27,170000,Al Fayha,
H. Jafry,3000,28,Saudi Arabia,38,56,57,60,56,0,SUB,18,180000,Al Fayha,
A. Qaisi,2000,30,Saudi Arabia,50,56,61,39,37,0,SUB,17,200000,Abha Club,
M. Abu Shararah,6000,29,Saudi Arabia,61,48,58,18,16,0,SUB,34,210000,Al Ahli,
M. Frediani,5000,26,Italy,54,53,65,19,33,0,RES,25,220000,Parma,
V. Centurion,500,34,Paraguay,0,0,0,10,10,59,GK,1,90000,Sol de America,
A. Jafar,3000,26,Saudi Arabia,53,52,65,48,45,0,SUB,70,220000,Damac FC,
C. Trafford,1000,28,Canada,40,55,53,57,52,0,SUB,14,180000,Hamilton Academical FC,
K. Kirihata,1000,33,Japan,0,0,0,12,11,66,RES,1,110000,Kashiwa Reysol,
R. Yamazaki,2000,31,Japan,60,52,65,12,18,0,RES,11,180000,Kashiwa Reysol,
F. Costa,2000,31,Argentina,0,0,0,9,15,56,SUB,21,130000,Patronato,
E. Sivertsen,800,29,Norway,33,45,53,60,57,0,SUB,15,170000,Kristiansund BK,
S. Akinola,2000,27,Nigeria,58,49,62,29,28,0,SUB,29,220000,Southend United,
M. Harzan,3000,31,Saudi Arabia,43,55,65,41,49,0,LW,75,180000,Damac FC,
A. Ibrahimaj,2000,28,Germany,57,53,68,28,28,0,SUB,20,210000,KFC Uerdingen 05,
Song Long,3000,30,China PR,37,54,59,54,56,0,SUB,39,160000,Shandong Luneng TaiShan FC,
T. Broadbent,2000,28,England,42,47,45,61,58,0,RES,35,180000,Swindon Town,
A. Ashraf,6000,27,Saudi Arabia,47,55,63,31,26,0,RES,15,220000,Al Hilal,
I. Effiong,2000,29,England,60,40,58,18,13,0,LS,9,210000,Stevenage,
N. Peter,700,31,Nigeria,58,43,56,13,10,0,SUB,9,190000,Falkenbergs FF,
F. Arismendi,500,29,Uruguay,53,62,63,55,48,0,LM,16,200000,Club Blooming,
Liu Yi,2000,31,China PR,24,49,44,64,61,0,LB,3,150000,Wuhan Zall,
R. Cabrera,500,31,Uruguay,35,37,36,65,63,0,CB,6,150000,Nacional Potosi≠,
A. Melksham,550,29,Australia,48,55,52,56,52,0,RDM,6,180000,Macarthur FC,
A. Souda,1000,27,France,52,58,60,34,37,0,RES,20,220000,Livingston FC,
I. Stoica,2000,32,Romania,23,32,34,60,60,0,LCB,4,130000,FC Hermannstadt,
A. Deshpande,0,39,India,59,61,65,26,15,0,0,0,0,0,
B. Sidhu,0,32,India,52,60,62,53,48,0,0,0,0,0,
E. Di≠az,500,28,Argentina,62,49,56,19,18,0,ST,9,210000,Club Atletico Tigre,
H. Cangi°,500,33,Ecuador,36,50,56,61,55,0,LCB,13,100000,El Nacional,
G. Ferni°ndez,500,32,Venezuela,58,47,51,29,16,0,ST,9,170000,Aragua FC,
R. de Jesus,500,34,Ecuador,44,54,53,57,56,0,LCM,5,80000,El Nacional,
R. Escobar,500,30,Paraguay,0,0,0,14,13,60,SUB,12,140000,Sportivo Luquei±o,
J. Acasiete,500,31,Peru,31,48,50,52,51,0,RB,2,150000,Club Atletico Grau,
M. Chang,2000,29,Cuba,47,60,61,36,23,0,RM,16,200000,Real Salt Lake,
J. Maldonado,500,26,Venezuela,43,48,51,63,60,0,SUB,5,190000,Caracas FC,
A. Gonzi°lez,500,28,Paraguay,40,54,56,61,55,0,SUB,15,180000,Nacional Asuncion,
W. Orti≠z,500,28,Argentina,55,57,60,53,49,0,RES,19,210000,Sportivo Luquei±o,
J. Arguello,500,28,Paraguay,48,58,56,40,35,0,RM,17,210000,Sportivo Luquei±o,
D. Perez,500,33,Paraguay,59,43,60,15,19,0,SUB,20,130000,River Plate Asuncion,
C. Paredes,500,29,Paraguay,60,45,55,17,18,0,RES,25,210000,Sportivo Luquei±o,
B. Di≠az,500,29,Paraguay,51,55,61,56,49,0,RCM,6,200000,Sportivo Luquei±o,
M. Afana,3000,29,Jordan,62,46,58,16,15,0,SUB,70,210000,Abha Club,
Y. Yuzawa,1000,29,Japan,51,60,63,22,26,0,RES,32,200000,Sagan Tosu,
G. Rivero,3000,28,Argentina,62,41,55,26,29,0,RES,22,210000,Patronato,
J. Belshaw,1000,29,England,0,0,0,11,11,60,GK,1,150000,Harrogate Town,
C. Riad,500,17,Morocco,31,45,41,67,65,0,RES,28,325000,CE Sabadell FC,
R. Jones,500,17,England,58,50,58,25,21,0,SUB,17,350000,Peterborough United,
E. Pizzuto,1000,18,Mexico,42,53,57,62,55,0,RES,15,325000,LOSC Lille,
D. Hoyo-Kowalski,500,16,Poland,25,34,36,66,63,0,RES,14,325000,WisaÇa Krakow,
L. Egloff,500,17,Germany,52,57,62,37,36,0,SUB,25,350000,VfB Stuttgart,
Y. Begraoui,500,18,France,60,43,63,18,20,0,SUB,19,325000,AJ Auxerre,
O. Holm,500,17,Norway,48,57,63,47,46,0,SUB,15,300000,Vi•lerenga Fotball,
A. Bani,500,17,Romania,51,51,63,23,28,0,SUB,38,300000,Dinamo Bucureaüti,
B. Duncan,5000,19,England,59,53,62,27,20,0,RES,99,325000,Fiorentina,
M. Burch,1000,19,Switzerland,26,37,40,62,61,0,RES,46,300000,FC Luzern,
L. Mercan,2000,19,Germany,61,60,64,52,52,0,SUB,37,325000,FC Schalke 04,
R. Jui°rez,3000,19,Mexico,31,33,34,70,61,0,RES,91,300000,Club America,
D. Maldini,2000,18,Italy,51,59,61,44,40,0,SUB,27,325000,Milan,
A. Ghezzi,500,19,Italy,47,59,62,55,59,0,SUB,16,325000,Brescia,
N. Fatar,2000,18,France,67,50,63,26,24,0,RES,17,325000,Angers SCO,
L. Gourna-Douath,600,16,France,46,57,63,59,58,0,RES,39,300000,AS Saint-iâtienne,
Y. Cimignani,500,18,France,52,59,63,58,47,0,RES,22,325000,AC Ajaccio,
A. Drakpe,500,18,Netherlands,34,37,39,63,64,0,SUB,31,300000,Sparta Rotterdam,
B. Hein,600,18,Germany,31,51,59,59,54,0,RES,39,300000,Hamburger SV,
M. Delanghe,850,19,Belgium,0,0,0,11,10,62,RES,21,275000,PSV,
K. Bafounta,2000,18,France,50,54,60,62,50,0,RES,34,300000,Borussia Dortmund,
C. Sene,3000,19,Senegal,36,41,44,58,54,0,RES,34,300000,Racing Club de Lens,
B. Pierrick,3000,18,England,56,54,62,19,15,0,RES,40,325000,Crystal Palace,
A. Hausch,700,17,Argentina,59,48,62,30,28,0,RES,19,300000,San Lorenzo de Almagro,
H. Ekitike,2000,18,France,59,45,56,17,16,0,RES,38,325000,Stade de Reims,
J. Iskra,500,17,Poland,34,37,54,65,70,0,RB,43,275000,SPAL,
I. Ouattara,3000,19,France,62,47,56,21,14,0,RES,23,325000,LOSC Lille,
A. Oudjani,2000,18,France,53,57,66,37,41,0,RES,39,325000,Racing Club de Lens,
K. Boma,500,17,France,31,43,44,66,61,0,RES,20,275000,Angers SCO,
B. Verbruggen,500,17,Netherlands,0,0,0,17,14,46,RES,16,250000,RSC Anderlecht,
Iago Domi≠nguez,500,18,Spain,0,0,0,13,13,52,RES,26,275000,RC Celta,
A. Bakir,4000,19,Germany,49,54,67,26,24,0,RES,39,325000,Borussia Dortmund,
A. Arroyo,500,18,Colombia,47,52,66,27,30,0,SUB,28,325000,Deportivo Cali,
J. Neiiü,3000,20,Germany,56,55,63,24,27,0,RES,37,350000,Hannover 96,
F. Greilinger,500,19,Germany,47,52,65,22,23,0,LS,11,325000,TSV 1860 Munchen,
J. Nardoni,500,17,Argentina,50,61,63,49,57,0,SUB,30,300000,Union de Santa Fe,
T. Suslov,650,18,Slovakia,50,59,63,31,36,0,RES,31,325000,FC Groningen,
R. Josipovic,500,19,Croatia,0,0,0,11,13,56,SUB,33,275000,Dinamo Zagreb,
S. Stehle,2000,18,Germany,53,46,58,33,24,0,RES,29,325000,Hannover 96,
Jony iÅlamo,800,18,Spain,42,60,58,58,63,0,SUB,32,300000,Elche CF,
N. Babil,1000,18,Ghana,56,52,61,23,22,0,SUB,8,325000,SCR Altach,
J. Aude,500,17,Argentina,44,45,70,56,62,0,RES,6,275000,Club Atletico Lanus,
E. Cornelisse,750,18,Netherlands,32,51,49,63,62,0,RES,39,300000,Vitesse,
J. Oksanen,700,19,Finland,54,59,57,58,53,0,SUB,16,325000,AFC Wimbledon,
S. Walker,2000,19,England,56,48,62,30,35,0,SUB,36,325000,Middlesbrough,
M. Ji∏rgensen,900,19,Denmark,59,44,61,23,22,0,RES,25,325000,New York Red Bulls,
J. King,800,19,Australia,29,48,57,56,52,0,SUB,16,300000,Sydney FC,
L. Buchanan,2000,19,England,37,43,53,58,60,0,SUB,48,300000,Derby County,
Y. Mena,750,20,Colombia,51,51,63,28,25,0,SUB,11,350000,Atletico Nacional,
F. Fragueda,750,19,Argentina,0,0,0,14,10,57,RES,12,275000,Club Atletico Talleres,
R. Baicu,1000,20,Romania,56,52,61,36,32,0,SUB,14,350000,Astra Giurgiu,
D. Ramaj,500,18,Germany,0,0,0,9,10,57,RES,40,275000,1. FC Heidenheim 1846,
O. Hindrich,500,17,Romania,0,0,0,13,12,58,RES,89,250000,CFR Cluj,
Carlos Kevin,2000,19,Spain,60,47,59,21,26,0,RES,27,325000,SD Huesca,
W. Singo,3000,19,Ivory Coast,31,40,43,70,68,0,RES,17,300000,Torino,
J. Mosquera,500,17,Colombia,32,50,57,59,60,0,SUB,29,275000,Independiente Medelli≠n,
A. Onana,600,18,Belgium,42,54,58,59,58,0,RES,24,300000,Hamburger SV,
M. Cisse,800,17,Guinea,51,51,66,31,32,0,RES,29,300000,VfB Stuttgart,
P. Meliande,500,18,France,52,60,59,58,56,0,RES,25,325000,Pau FC,
A. Bates,2000,19,England,51,59,63,51,49,0,LDM,12,325000,Walsall,
Almerge,2000,19,Spain,37,51,51,58,57,0,RES,32,300000,SD Huesca,
M. Pollock,500,18,England,22,39,38,58,55,0,SUB,25,300000,Grimsby Town,
K. Nkuba,850,18,Belgium,48,49,69,13,18,0,RES,28,325000,Sporting de Charleroi,
M. Mbow,3000,20,Senegal,29,34,38,64,57,0,RES,39,325000,Stade de Reims,
O. Casey,6000,19,England,27,44,50,63,59,0,SUB,49,300000,Leeds United,
Y. Jui°rez,900,18,Argentina,54,55,62,30,28,0,RES,39,325000,Club Atletico Aldosivi,
K. Poku,950,18,England,53,52,64,41,33,0,RM,23,325000,Colchester United,
Cesar Moreno,2000,19,Spain,57,60,62,53,58,0,RES,34,325000,Elche CF,
N. Tauer,2000,19,Germany,45,55,57,64,52,0,RES,25,325000,1. FSV Mainz 05,
I. Nuhu,900,18,Ghana,48,52,69,28,42,0,LW,29,325000,KAS Eupen,
F. Otto,1000,18,Germany,33,41,38,66,65,0,RES,40,300000,Eintracht Frankfurt,
G. Cangiano,2000,18,Italy,56,54,66,28,31,0,RES,74,325000,Bologna,
D. Isac,550,19,Romania,41,50,57,60,62,0,SUB,98,325000,UTA Arad,
E. Tatlƒ±,500,17,Turkey,42,57,61,66,55,0,RES,14,300000,Fatih Karagumruk S.K.,
P. Ri≠os,4000,20,Mexico,54,59,61,52,49,0,RES,98,350000,Club America,
W. Spieringhs,650,18,Netherlands,45,66,59,45,50,0,RES,43,325000,Willem II,
T. Baack,2000,21,Germany,25,40,42,63,60,0,SUB,31,325000,SSV Jahn Regensburg,
L. Rivas,2000,20,Argentina,50,57,65,38,31,0,SUB,36,350000,Rosario Central,
I. Tapia,900,21,Chile,31,37,39,56,58,0,LCB,3,325000,CD Huachipato,
B. Cooper,2000,20,Wales,33,36,35,67,66,0,CB,6,325000,Newport County,
S. Zehnder,2000,21,Germany,51,56,60,30,36,0,RES,36,350000,SV Darmstadt 98,
F. Murray,1000,21,Scotland,51,57,60,35,38,0,SUB,12,350000,Hibernian,
C. Coventry,4000,20,Republic of Ireland,46,56,60,57,47,0,RES,54,350000,West Ham United,
M. Breunig,1000,19,Germany,58,43,64,19,20,0,SUB,18,325000,FC Admira Wacker Miodling,
G. Kilkenny,2000,20,Republic of Ireland,52,59,63,51,48,0,RES,53,350000,Bournemouth,
M. Hauptmann,500,20,Germany,50,54,63,46,39,0,SUB,23,350000,FSV Zwickau,
Y. Roemer,650,18,Netherlands,54,48,64,15,20,0,SUB,19,325000,VVV-Venlo,
A. Gurleyen,3000,21,Germany,36,43,40,57,54,0,RES,44,325000,1. FSV Mainz 05,
A. Bastiaans,650,18,Netherlands,50,58,62,48,51,0,SUB,20,325000,VVV-Venlo,
G. Leon,3000,20,Mexico,60,53,65,48,25,0,RES,28,350000,Deportivo Toluca,
A. Morgan,1000,20,England,46,57,59,56,52,0,RCM,19,350000,Charlton Athletic,
E. Bullaude,1000,19,Argentina,58,53,62,20,16,0,SUB,33,325000,Godoy Cruz,
J. Rothmann,2000,20,Denmark,49,44,65,19,12,0,SUB,29,350000,FC Nordsji¶lland,
A. Skipper,2000,20,Denmark,31,45,46,62,58,0,SUB,28,325000,Bri∏ndby IF,
A. Gutierrez,6000,20,Mexico,47,62,59,60,53,0,LM,20,350000,Cruz Azul,
B. Moltenis,750,21,France,29,42,45,65,62,0,SUB,23,325000,FC Sochaux-Montbeliard,
F. Bilbija,1000,20,Germany,49,55,64,26,24,0,SUB,35,350000,FC Ingolstadt 04,
D. aöciaõlak,850,20,Poland,49,57,62,25,21,0,SUB,20,350000,Gornik Zabrze,
R. Zuijderwijk,1000,19,Netherlands,54,58,65,41,55,0,SUB,16,325000,Willem II,
V. Pinto,4000,19,Italy,57,36,59,18,15,0,RES,45,325000,Spezia,
G. Links,2000,21,South Africa,50,50,65,25,19,0,RES,11,350000,Aarhus GF,
S. Ngapandouetnbu,500,17,Cameroon,0,0,0,10,13,54,RES,1,250000,Marseille,
B. Canelhas,850,20,France,44,61,65,51,49,0,RES,26,350000,La Berrichonne de Chi¢teauroux,
A. Ghion,3000,20,Italy,42,56,60,60,64,0,SUB,44,325000,Sassuolo,
H. Rorig,750,20,Germany,39,50,59,54,57,0,RES,15,325000,1. FC Magdeburg,
M. Ballarini,2000,19,Italy,38,59,63,47,43,0,RES,21,325000,Udinese,
D. Trivunic,550,18,Serbia,45,54,56,59,54,0,SUB,18,300000,Karlsruher SC,
L. Bernadou,750,19,France,50,62,65,50,57,0,RES,24,325000,FC Emmen,
D. Miculescu,650,19,Romania,51,53,57,30,24,0,SUB,10,325000,UTA Arad,
M. Sarƒ±gul,1000,19,Turkey,35,40,58,64,66,0,SUB,21,300000,Fatih Karagumruk S.K.,
A. Zapata,3000,19,Mexico,51,61,61,45,55,0,RES,96,325000,Monterrey,
L. Marti≠nez Dupuy,2000,19,Mexico,61,45,58,15,19,0,SUB,9,325000,Rosario Central,
O. Camara,500,17,France,47,54,56,56,50,0,RES,33,300000,Paris FC,
P. Bargiel,1000,20,Poland,53,55,64,33,38,0,SUB,27,350000,aölƒÖsk WrocaÇaw,
D. Happe,2000,21,England,28,41,42,60,58,0,LCB,5,325000,Leyton Orient,
L. McCormick,1000,21,England,50,56,64,45,52,0,SUB,40,350000,Bristol Rovers,
E. Vertainen,500,21,Finland,57,52,59,30,28,0,SUB,7,350000,HJK Helsinki,
E. Toal,500,21,Northern Ireland,31,37,46,61,59,0,LCB,6,325000,Derry City,
P. Hristov,5000,21,Bulgaria,31,35,36,68,68,0,RES,49,325000,Fiorentina,
J. Stenmark,500,21,Sweden,29,47,49,59,55,0,RES,36,325000,Kalmar FF,
B. Taz,3000,21,Germany,56,53,68,25,25,0,RES,37,350000,1. FC Union Berlin,
M. Sanders,6000,21,England,52,58,61,59,55,0,RES,41,350000,Brighton & Hove Albion,
M. Cooper,1000,20,England,0,0,0,14,12,58,GK,1,300000,Plymouth Argyle,
O. Bailey,2000,20,England,55,53,63,18,17,0,RES,37,350000,Birmingham City,
A. Akinola,1000,20,United States,55,47,62,19,13,0,SUB,20,350000,Toronto FC,
M. Al Rashidi,2000,21,Saudi Arabia,36,48,54,55,54,0,SUB,2,325000,Al Fayha,
M. Gudmann,2000,20,Denmark,28,37,51,59,57,0,RES,33,325000,FC Nordsji¶lland,
K. Lewis-Potter,1000,19,England,57,43,59,15,19,0,SUB,19,325000,Hull City,
G. Siadas,3000,20,Germany,31,49,54,59,61,0,RES,37,325000,Fortuna Dusseldorf,
E. Si∏rensen,5000,20,Denmark,62,44,57,15,21,0,RES,47,350000,Newcastle United,
F. Delaveris,2000,19,Norway,54,56,64,11,13,0,RES,15,325000,Vitesse,
T. Koch,2000,19,Austria,38,54,58,64,66,0,SUB,22,325000,SK Sturm Graz,
J. Daly,2000,20,England,58,44,60,21,19,0,RES,17,350000,Bristol Rovers,
T. van den Belt,1000,19,Netherlands,44,60,60,63,57,0,SUB,20,325000,PEC Zwolle,
Algobia,3000,21,Spain,55,58,61,58,54,0,RES,36,350000,Getafe CF,
T. Hasal,650,20,Canada,0,0,0,11,13,59,SUB,51,300000,Vancouver Whitecaps FC,
O. Diagne,550,21,Senegal,34,48,60,61,58,0,SUB,20,325000,Kristiansund BK,
Lee Gwang Yeon,700,20,Korea Republic,0,0,0,14,12,59,GK,1,300000,Gangwon FC,
O. Camara,950,21,France,48,56,59,53,50,0,RES,24,350000,AJ Auxerre,
T. Coulibaly,2000,19,France,48,52,68,25,27,0,RES,7,325000,VfB Stuttgart,
Patrick,4000,21,Brazil,60,48,62,13,13,0,SUB,31,350000,FC Sion,
G. CiÆmpanu,1000,19,Romania,54,48,62,36,36,0,CAM,77,325000,FC Botoaüani,
D. PawaÇowski,650,21,Poland,52,54,58,57,51,0,SUB,27,350000,Stal Mielec,
J. Westerman,800,18,Netherlands,56,51,62,35,34,0,SUB,32,325000,PEC Zwolle,
Luis Castillo,2000,20,Spain,0,0,0,11,11,59,SUB,28,300000,Elche CF,
I. Jansson,500,18,Sweden,51,50,63,43,42,0,RF,19,325000,Kalmar FF,
T. Chacon,800,19,Uruguay,49,56,64,32,31,0,RES,11,325000,Minnesota United FC,
P. Rovaglia,500,19,Italy,58,49,49,25,18,0,SUB,29,325000,Chievo Verona,
I. Someno,750,18,Japan,61,55,54,22,14,0,RES,19,325000,Kashima Antlers,
D. Shabanhaxhaj,2000,19,Kosovo,53,57,63,31,42,0,SUB,33,325000,SK Sturm Graz,
Mario,1000,21,Spain,26,44,47,62,66,0,RES,31,325000,CD Leganes,
Shin Won Ho,1000,19,Korea Republic,31,51,58,57,55,0,RES,40,300000,Gamba Osaka,
Santiago Eneme,2000,19,Equatorial Guinea,50,54,66,36,43,0,RES,37,325000,FC Nantes,
T. Raemaekers,1000,19,Belgium,40,46,52,63,64,0,LCB,28,300000,Oud-Heverlee Leuven,
M. Balikwisha,2000,19,Belgium,58,47,64,12,12,0,RES,32,325000,Standard de Lii®ge,
M. Thiel,650,18,Belgium,22,39,50,62,61,0,RES,65,300000,SV Zulte-Waregem,
M. Ageev,500,20,Russia,63,42,54,19,22,0,RES,92,350000,Lokomotiv Moscow,
E. Rottier,700,18,Netherlands,57,49,59,21,22,0,RES,24,325000,ADO Den Haag,
O. Edwards,1000,19,England,49,52,60,29,27,0,SUB,20,325000,Grimsby Town,
T. Arokodare,3000,19,Nigeria,60,41,53,28,21,0,RES,7,325000,1. FC Kioln,
M. Lea°,950,20,Croatia,36,46,51,61,60,0,SUB,22,325000,Heracles Almelo,
S. Diallo,8000,21,England,53,57,62,57,55,0,RES,42,300000,Wolverhampton Wanderers,
J. Koroma,3000,21,England,55,50,61,38,39,0,ST,19,300000,Huddersfield Town,
J. Evans,4000,22,Wales,44,54,57,58,55,0,SUB,34,275000,Swansea City,
L. Cullen,4000,21,Wales,60,52,65,31,32,0,SUB,20,300000,Swansea City,
P. Olszewski,1000,21,Poland,32,43,56,58,56,0,RB,38,275000,Jagiellonia BiaaÇystok,
D. Franke,1000,21,Germany,33,52,63,59,60,0,SUB,3,275000,FC Ingolstadt 04,
C. Metcalfe,2000,20,Australia,47,53,63,54,52,0,SUB,34,300000,Melbourne City FC,
J. Di Lorenzo,2000,21,Argentina,29,39,42,64,63,0,RES,31,275000,Independiente,
L. Pierre,900,22,Haiti,46,49,55,60,59,0,LDM,19,275000,USL Dunkerque,
H. Al Ghamdi,3000,21,Saudi Arabia,57,58,67,57,52,0,SUB,8,300000,Ettifaq FC,
D. Bielica,500,21,Poland,0,0,0,13,14,56,SUB,33,250000,Warta Poznan,
J. Stanic,500,21,Croatia,23,36,42,66,62,0,SUB,6,275000,FSV Zwickau,
O. Atilgan,1000,20,Germany,56,51,63,24,17,0,RES,8,300000,SG Dynamo Dresden,
G. Galoppo,2000,21,Argentina,45,57,60,61,56,0,RES,18,300000,Club Atletico Banfield,
D. MikoaÇajewski,800,20,Poland,35,47,51,58,57,0,SUB,89,275000,Rakow Czestochowa,
E. Ferigra,4000,21,Ecuador,33,38,38,66,63,0,SUB,45,275000,Torino,
M. Batmaz,2000,20,Turkey,61,35,63,18,16,0,SUB,31,300000,Karlsruher SC,
A. Mironov,500,20,Russia,49,60,57,64,62,0,SUB,83,300000,Lokomotiv Moscow,
D. Drysdale,4000,20,England,26,41,45,59,57,0,RES,35,275000,Coventry City,
U. Godwin-Malife,2000,20,England,32,47,57,59,58,0,RCB,22,275000,Forest Green Rovers,
I. Gomis,850,20,France,52,58,63,37,39,0,SUB,22,300000,Amiens SC,
T. Nkada,2000,20,France,60,49,62,13,22,0,SUB,19,300000,Aalborg BK,
P. PyrdoaÇ,850,21,Poland,50,54,59,22,18,0,SUB,11,300000,WisaÇa PaÇock,
E. Pei±a Zauner,1000,20,Venezuela,54,60,65,31,34,0,SUB,21,300000,SV Sandhausen,
F. Ji§kel,1000,19,Germany,29,39,38,62,60,0,RES,15,275000,KV Oostende,
G. Centurion,500,18,Uruguay,0,0,0,11,10,55,RES,25,230000,Nacional de Montevideo,
L. Emini,2000,20,Switzerland,43,58,58,57,59,0,LCM,31,300000,FC Luzern,
Indjai Correia,4000,20,Guinea Bissau,58,53,65,27,28,0,RES,33,300000,AS Saint-iâtienne,
